"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2013年度","兵庫県 明石市","","2,588","2,583","1,627","543"
"2013年度","兵庫県 西宮市","","4,402","3,757","2,588","832"
"2013年度","兵庫県 洲本市","","283","623","184","64"
"2013年度","兵庫県 芦屋市","","770","836","442","161"
"2013年度","兵庫県 伊丹市","","1,909","1,557","1,079","414"
"2013年度","兵庫県 相生市","","216","401","149","47"
"2013年度","兵庫県 豊岡市","","677","1,114","357","120"
"2013年度","兵庫県 加古川市","","2,328","2,364","1,360","467"
"2013年度","兵庫県 赤穂市","","368","543","184","82"
"2013年度","兵庫県 西脇市","","317","540","172","73"
"2013年度","兵庫県 宝塚市","","1,931","1,894","937","334"
"2013年度","兵庫県 三木市","","508","847","301","104"
"2013年度","兵庫県 高砂市","","704","885","483","146"
"2013年度","兵庫県 川西市","","1,157","1,326","624","249"
"2013年度","兵庫県 小野市","","411","493","227","98"
"2013年度","兵庫県 三田市","","812","815","427","138"
"2013年度","兵庫県 加西市","","306","553","205","68"
"2013年度","兵庫県 篠山市","","287","588","160","82"
"2013年度","兵庫県 養父市","","153","462","86","32"
"2013年度","兵庫県 丹波市","","510","905","276","95"
"2013年度","兵庫県 南あわじ市","","353","737","178","70"
"2013年度","兵庫県 朝来市","","227","498","126","51"
"2013年度","兵庫県 淡路市","","295","709","180","54"
"2013年度","兵庫県 宍粟市","","269","568","148","59"
"2013年度","兵庫県 加東市","","390","401","186","85"
"2013年度","兵庫県 たつの市","","608","885","340","130"
"2013年度","兵庫県 猪名川町","","166","251","77","62"
"2013年度","兵庫県 多可町","","111","320","85","31"
"2013年度","兵庫県 稲美町","","228","321","138","42"
"2013年度","兵庫県 播磨町","","320","296","150","74"
"2013年度","兵庫県 市川町","","65","164","43","23"
"2013年度","兵庫県 福崎町","","167","219","71","30"
"2013年度","兵庫県 神河町","","45","175","37","13"
"2013年度","兵庫県 太子町","","307","289","146","76"
"2013年度","兵庫県 上郡町","","91","215","57","23"
"2013年度","兵庫県 佐用町","","86","304","59","20"
"2013年度","兵庫県 香美町","","108","314","59","17"
"2013年度","兵庫県 新温泉町","","101","225","53","9"
"2012年度","兵庫県 神戸市 東灘区","","1,853","1,615","1,155","356"
"2012年度","兵庫県 神戸市 灘区","","1,164","1,274","739","274"
"2012年度","兵庫県 神戸市 兵庫区","","825","1,430","680","278"
"2012年度","兵庫県 神戸市 長田区","","635","1,425","510","228"
"2012年度","兵庫県 神戸市 須磨区","","1,188","1,606","758","313"
"2012年度","兵庫県 神戸市 垂水区","","1,891","2,253","1,133","423"
"2012年度","兵庫県 神戸市 北区","","1,705","2,067","955","431"
"2012年度","兵庫県 神戸市 中央区","","1,058","1,265","1,025","309"
"2012年度","兵庫県 神戸市 西区","","2,038","1,819","1,185","434"
"2012年度","兵庫県 姫路市","","4,905","5,134","2,960","1,054"
"2012年度","兵庫県 尼崎市","","4,072","4,661","2,862","957"
"2012年度","兵庫県 明石市","","2,674","2,463","1,623","581"
"2012年度","兵庫県 西宮市","","4,475","3,571","2,673","838"
"2012年度","兵庫県 洲本市","","307","617","174","61"
"2012年度","兵庫県 芦屋市","","767","814","449","153"
"2012年度","兵庫県 伊丹市","","1,879","1,523","1,093","425"
"2012年度","兵庫県 相生市","","220","371","116","56"
"2012年度","兵庫県 豊岡市","","737","1,113","377","141"
"2012年度","兵庫県 加古川市","","2,436","2,149","1,360","492"
"2012年度","兵庫県 赤穂市","","364","546","207","72"
"2012年度","兵庫県 西脇市","","331","515","187","58"
"2012年度","兵庫県 宝塚市","","1,933","1,948","919","382"
"2012年度","兵庫県 三木市","","529","857","335","116"
"2012年度","兵庫県 高砂市","","737","831","443","195"
"2012年度","兵庫県 川西市","","1,139","1,348","609","262"
"2012年度","兵庫県 小野市","","425","515","221","69"
"2012年度","兵庫県 三田市","","795","777","422","169"
"2012年度","兵庫県 加西市","","298","519","182","57"
"2012年度","兵庫県 篠山市","","308","550","173","56"
"2012年度","兵庫県 養父市","","180","436","108","42"
"2012年度","兵庫県 丹波市","","478","900","284","130"
"2012年度","兵庫県 南あわじ市","","343","713","199","71"
"2012年度","兵庫県 朝来市","","247","495","165","44"
"2012年度","兵庫県 淡路市","","292","742","197","68"
"2012年度","兵庫県 宍粟市","","288","552","139","58"
"2012年度","兵庫県 加東市","","372","362","205","70"
